date,symbol,close,change,change_rate,open,high,low,volume,trade_value
2019-11-15,KAU19,35000,-1750,-4.76,36950,36950,34550,16500,595875000
2019-11-18,KAU19,36250,1250,3.57,36950,36950,36000,16000,587525000
2019-11-19,KAU19,36550,300,0.83,36500,36550,36300,23200,846900000
2019-11-20,KAU19,36700,150,0.41,36900,37200,36600,22970,848614000
2019-11-21,KAU19,36850,150,0.41,36700,36850,36700,23820,876187000
2019-11-22,KAU19,37500,650,1.76,37500,37500,37300,19000,711595000
2019-11-25,KAU19,37850,350,0.93,38000,38000,37850,15000,569250000
2019-11-26,KAU19,38950,1100,2.91,0,0,0,0,0
2019-11-27,KAU19,38000,-950,-2.44,39850,39850,38000,33080,1307935000
2019-11-28,KAU19,38150,150,0.39,38050,38200,38050,38500,1468175000
2019-11-29,KAU19,38350,200,0.52,38400,38400,38350,19000,729550000
2019-12-02,KAU19,37700,-650,-1.69,37700,37700,37700,1500,56550000
2019-12-03,KAU19,37700,0,0,37700,37700,37700,3000,113100000
2019-12-04,KAU19,38350,650,1.72,0,0,0,0,0
2019-12-05,KAU19,38950,600,1.56,0,0,0,0,0
2019-12-06,KAU19,39250,300,0.77,0,0,0,0,0
2019-12-09,KAU19,39450,200,0.51,39450,39450,39450,1500,59175000
2019-12-10,KAU19,39600,150,0.38,39600,39600,39600,7200,285120000
2019-12-11,KAU19,39900,300,0.76,39850,39900,39850,7000,279200000
2019-12-12,KAU19,40450,550,1.38,40500,40500,40450,8000,323775000
2019-12-13,KAU19,40550,100,0.25,0,0,0,0,0
2019-12-16,KAU19,40600,50,0.12,0,0,0,0,0
2019-12-17,KAU19,40650,50,0.12,0,0,0,80000,3248000000
2019-12-18,KAU19,40700,50,0.12,0,0,0,0,0
2019-12-19,KAU19,40800,100,0.25,0,0,0,23000,936100000
2019-12-20,KAU19,40800,0,0,40800,40800,40800,1100,44880000
2019-12-23,KAU19,40900,100,0.25,40900,40900,40900,5000,204500000
2019-12-24,KAU19,37050,-3850,-9.41,40950,40950,37050,123744,5046393550
2019-12-26,KAU19,39500,2450,6.61,0,0,0,35000,1296750000
2019-12-27,KAU19,37500,-2000,-5.06,37500,37500,37500,35000,1407000000
2019-12-30,KAU19,38100,600,1.6,40000,40000,38100,24939,999485000
2020-01-02,KAU19,36500,-1600,-4.2,36500,36500,36500,1500,54750000
2020-01-03,KAU19,35050,-1450,-3.97,40000,40000,35050,5451,215565000
2020-01-06,KAU19,33000,-2050,-5.85,32100,33000,32100,5500,177000000
2020-01-07,KAU19,35200,2200,6.67,35200,35200,35200,5000,176000000
2020-01-08,KAU19,36000,800,2.27,0,0,0,0,0
2020-01-09,KAU19,35500,-500,-1.39,35500,35500,35500,5000,177500000
2020-01-10,KAU19,38000,2500,7.04,36550,38000,36550,12000,445750000
2020-01-13,KAU19,38500,500,1.32,38550,38550,38500,4000,154025000
2020-01-14,KAU19,39050,550,1.43,36300,39050,36300,5000,186450000
2020-01-15,KAU19,37450,-1600,-4.1,37050,39200,37050,14600,565070000
2020-01-16,KAU19,38650,1200,3.2,39000,39500,38650,8100,318377500
2020-01-17,KAU19,38100,-550,-1.42,38100,38100,38100,1500,57150000
2020-01-20,KAU19,38100,0,0,0,0,0,0,0
2020-01-21,KAU19,37950,-150,-0.39,37800,38000,37800,112000,4295100000
2020-01-22,KAU19,38000,50,0.13,38600,38600,37900,51000,1949150000
2020-01-23,KAU19,38050,50,0.13,0,0,0,0,0
2020-01-28,KAU19,38050,0,0,0,0,0,0,0
2020-01-29,KAU19,38000,-50,-0.13,38000,38000,38000,2000,76000000
2020-01-30,KAU19,38100,100,0.26,38100,38100,38100,2000,76200000
2020-01-31,KAU19,38200,100,0.26,38200,38200,38100,8000,305500000
2020-02-03,KAU19,38200,0,0,0,0,0,0,0
2020-02-04,KAU19,38200,0,0,0,0,0,0,0
2020-02-05,KAU19,38200,0,0,0,0,0,0,0
2020-02-06,KAU19,37550,-650,-1.7,37000,37550,37000,10000,372750000
2020-02-07,KAU19,37100,-450,-1.2,38000,38000,37100,6000,223500000
2020-02-10,KAU19,38800,1700,4.58,37500,39000,37500,4500,174150000
2020-02-11,KAU19,39050,250,0.64,0,0,0,0,0
2020-02-12,KAU19,39150,100,0.26,39400,39400,39150,111000,4346200000
2020-02-13,KAU19,38800,-350,-0.89,38800,38800,38800,1500,58200000
2020-02-14,KAU19,38800,0,0,38800,38800,38800,1500,58200000
2020-02-17,KAU19,38800,0,0,38850,38850,38800,18000,699050000
2020-02-18,KAU19,39400,600,1.55,0,0,0,0,0
2020-02-19,KAU19,39400,0,0,39400,39450,39400,22000,864450000
2020-02-20,KAU19,39500,100,0.25,0,0,0,0,0
2020-02-21,KAU19,39650,150,0.38,0,0,0,0,0
2020-02-24,KAU19,39300,-350,-0.88,39300,39300,39300,1500,58950000
2020-02-25,KAU19,39000,-300,-0.76,40000,40000,39000,12000,478000000
2020-02-26,KAU19,39300,300,0.77,39300,39300,39300,4000,157400000
2020-02-27,KAU19,39350,50,0.13,39600,39600,39350,29250,1156167500
2020-02-28,KAU19,39350,0,0,39500,39500,39350,15500,611825000
2020-03-02,KAU19,39350,0,0,39350,39350,39350,3000,118050000
2020-03-03,KAU19,39500,150,0.38,39500,39500,39500,10000,395000000
2020-03-04,KAU19,40100,600,1.52,39750,40100,39700,9000,359350000
2020-03-05,KAU19,39600,-500,-1.25,39550,39600,39550,10800,427330000
2020-03-06,KAU19,39800,200,0.51,0,0,0,0,0
2020-03-09,KAU19,39800,0,0,39800,39800,39800,1500,59700000
2020-03-10,KAU19,39800,0,0,40100,40100,39800,6500,260200000
2020-03-11,KAU19,39800,0,0,40200,40250,39800,21600,864200000
2020-03-12,KAU19,39900,100,0.25,39900,40500,39900,39000,1569850000
2020-03-13,KAU19,40300,400,1,40300,40300,39950,12600,506870000
2020-03-16,KAU19,40450,150,0.37,40400,40450,40100,20000,806750000
2020-03-17,KAU19,40200,-250,-0.62,40500,40600,40200,25740,1041000000
2020-03-18,KAU19,40000,-200,-0.5,40500,40500,40000,32000,1288016000
2020-03-19,KAU19,40200,200,0.5,40200,40450,40200,53500,2154210650
2020-03-20,KAU19,40050,-150,-0.37,40100,40450,40050,31510,1266669400
2020-03-23,KAU19,40050,0,0,40100,40400,40050,25000,1003850000
2020-03-24,KAU19,40050,0,0,40050,40450,40050,23000,921550000
2020-03-25,KAU19,40100,50,0.12,40200,40300,40100,24500,985036000
2020-03-26,KAU19,40050,-50,-0.12,40050,40300,40050,100500,4017700000
2020-03-27,KAU19,40050,0,0,40300,40400,40050,33300,1335765000
2020-03-30,KAU19,40350,300,0.75,40200,40350,40200,6000,241531950
2020-03-31,KAU19,40500,150,0.37,40350,40500,40050,39809,1605079450
2020-04-01,KAU19,40000,-500,-1.23,40000,40000,40000,5500,220000000
