record_type,order,sector,industry,2026-07_sell,2026-07_buy,2026-06_sell,2026-06_buy,2026-05_sell,2026-05_buy,2026-04_sell,2026-04_buy,2026-03_sell,2026-03_buy,2026-02_sell,2026-02_buy,2026-01_sell,2026-01_buy,2025-12_sell,2025-12_buy,2025-11_sell,2025-11_buy,2025-10_sell,2025-10_buy,2025-09_sell,2025-09_buy,2025-08_sell,2025-08_buy,2025-07_sell,2025-07_buy,2025-06_sell,2025-06_buy,2025-05_sell,2025-05_buy,2025-04_sell,2025-04_buy,2025-03_sell,2025-03_buy,2025-02_sell,2025-02_buy,2025-01_sell,2025-01_buy,2024-12_sell,2024-12_buy,2024-11_sell,2024-11_buy,2024-10_sell,2024-10_buy,2024-09_sell,2024-09_buy,2024-08_sell,2024-08_buy,2024-07_sell,2024-07_buy,2024-06_sell,2024-06_buy,2024-05_sell,2024-05_buy,2024-04_sell,2024-04_buy,2024-03_sell,2024-03_buy,2024-02_sell,2024-02_buy,2024-01_sell,2024-01_buy,2023-12_sell,2023-12_buy,2023-11_sell,2023-11_buy,2023-10_sell,2023-10_buy,2023-09_sell,2023-09_buy,2023-08_sell,2023-08_buy,2023-07_sell,2023-07_buy,2023-06_sell,2023-06_buy,2023-05_sell,2023-05_buy,2023-04_sell,2023-04_buy,2023-03_sell,2023-03_buy,2023-02_sell,2023-02_buy,2023-01_sell,2023-01_buy,2022-12_sell,2022-12_buy,2022-11_sell,2022-11_buy,2022-10_sell,2022-10_buy,2022-09_sell,2022-09_buy,2022-08_sell,2022-08_buy
industry,45,산업,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9026,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,46,산업,자동차용 엔진 및 자동차 제조업,7152,0,437,0,0,0,0,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16200,30000,7793,0,29898,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14100,0,12177,0,28239,0,8000,0,780,0,0,0,0,0,0,0,0,0,18470,0,6020,0,0,0,59060,0,2057,12341,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,47,산업,자동차 신품 부품 제조업,0,17651,7565,24033,1515,3962,100,130040,5822,4514,0,4462,0,914,0,1468,0,0,0,0,105596,0,10160,111553,16520,31795,0,11277,3746,12080,370,9786,0,0,0,0,0,0,0,5125,0,0,6605,0,91000,0,9752,107116,11497,46593,111544,18904,16595,16395,0,1000,0,0,0,0,13531,0,0,0,0,0,0,0,0,0,36809,43726,8191,19622,13817,37122,0,0,10320,13997,15269,3000,2455,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,48,산업,선박 및 보트 건조업,28595,30000,792,170731,0,29960,0,114969,0,0,0,0,0,0,0,68311,0,0,0,0,0,50765,17051,59075,20554,100233,0,48361,0,0,0,13477,0,93600,0,0,0,0,0,0,0,0,0,0,0,0,463,18805,27540,27500,48339,31500,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54876,0,17310,0,87918,13,4300,0,5400,2130,4800,11000,0,7001,0,0,0,0,0,0,0,0,0,0,143,0
industry,49,산업,"항공기, 우주선 및 부품 제조업",0,0,0,3011,0,0,0,0,0,16290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,50,산업,건물 건설업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,51,산업,전기 통신업,80781,6997,0,39179,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103989,21611,50750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70789,14523,96050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,1848,94946,0,45658,0,0,0,0,0,0,3000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0
industry,52,산업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,41301,0,0,0,0,0,0,0,0,0,0,0,18735,0,0,0,0,0,0,0,22085,0,24605,0,6000,0,0,0,0,0,3000,0,0,0,0,0,30430,0,0,0,0,0,0,0,6900,0,50476,0,0,0,0,0,0,0,0,0,10420,0,0,0,0,0,0,0,0,0,0,0,12902,9988,21661,0,0,0,0,0,5170,0,10000,0,0,0,0,0,21290,0,0,0,0,0,0,0,0
industry,53,산업,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11418,0,0,0,0,0,0,11222,0,14143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6822,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,176,6930,0,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,54,산업,무기 및 총포탄 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,55,산업,컴퓨터 및 주변 장치 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,56,건물,종합 소매업,14060,0,0,33500,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,20652,26491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14915,3600,6268,1450,7500,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25785,0,0,25071,1800,0,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11465,0
